"fire_year","state","statistical_cause","num_fires_caused"
1992,"AK","Arson",21
1992,"AK","Campfire",68
1992,"AK","Children",39
1992,"AK","Debris Burning",99
1992,"AK","Equipment Use",9
1992,"AK","Fireworks",22
1992,"AK","Lightning",98
1992,"AK","Miscellaneous",61
1992,"AK","Missing/Undefined",2
1992,"AK","Powerline",22
1992,"AK","Smoking",19
1992,"AK","Structure",21
1992,"AL","Arson",68
1992,"AL","Campfire",2
1992,"AL","Debris Burning",8
1992,"AL","Fireworks",1
1992,"AL","Lightning",2
1992,"AL","Miscellaneous",10
1992,"AL","Railroad",1
1992,"AL","Smoking",1
1992,"AR","Arson",78
1992,"AR","Campfire",6
1992,"AR","Children",1
1992,"AR","Debris Burning",16
1992,"AR","Equipment Use",5
1992,"AR","Lightning",8
1992,"AR","Miscellaneous",10
1992,"AR","Smoking",4
1992,"AZ","Arson",338
1992,"AZ","Campfire",298
1992,"AZ","Children",88
1992,"AZ","Debris Burning",291
1992,"AZ","Equipment Use",112
1992,"AZ","Fireworks",9
1992,"AZ","Lightning",1185
1992,"AZ","Miscellaneous",1014
1992,"AZ","Missing/Undefined",4
1992,"AZ","Powerline",1
1992,"AZ","Railroad",17
1992,"AZ","Smoking",136
1992,"AZ","Structure",1
1992,"CA","Arson",1155
1992,"CA","Campfire",433
1992,"CA","Children",549
1992,"CA","Debris Burning",688
1992,"CA","Equipment Use",2323
1992,"CA","Fireworks",13
1992,"CA","Lightning",2696
1992,"CA","Miscellaneous",2427
1992,"CA","Missing/Undefined",1
1992,"CA","Powerline",32
1992,"CA","Railroad",36
1992,"CA","Smoking",472
1992,"CA","Structure",8
1992,"CO","Arson",84
1992,"CO","Campfire",156
1992,"CO","Children",21
1992,"CO","Debris Burning",45
1992,"CO","Equipment Use",19
1992,"CO","Fireworks",2
1992,"CO","Lightning",787
1992,"CO","Miscellaneous",34
1992,"CO","Missing/Undefined",121
1992,"CO","Powerline",1
1992,"CO","Railroad",8
1992,"CO","Smoking",44
1992,"CT","Arson",69
1992,"CT","Campfire",35
1992,"CT","Children",28
1992,"CT","Debris Burning",28
1992,"CT","Equipment Use",3
1992,"CT","Miscellaneous",23
1992,"CT","Missing/Undefined",2
1992,"CT","Railroad",4
1992,"CT","Smoking",10
1992,"DC","Arson",2
1992,"DC","Campfire",1
1992,"DE","Arson",3
1992,"FL","Arson",176
1992,"FL","Campfire",51
1992,"FL","Children",234
1992,"FL","Debris Burning",220
1992,"FL","Equipment Use",938
1992,"FL","Lightning",607
1992,"FL","Miscellaneous",459
1992,"FL","Powerline",3
1992,"FL","Railroad",1450
1992,"FL","Smoking",84
1992,"GA","Arson",1711
1992,"GA","Campfire",77
1992,"GA","Children",300
1992,"GA","Debris Burning",2927
1992,"GA","Equipment Use",535
1992,"GA","Lightning",99
1992,"GA","Miscellaneous",401
1992,"GA","Railroad",128
1992,"GA","Smoking",281
1992,"HI","Arson",1
1992,"HI","Campfire",23
1992,"HI","Debris Burning",3
1992,"HI","Miscellaneous",9
1992,"HI","Missing/Undefined",41
1992,"IA","Arson",3
1992,"IA","Miscellaneous",2
1992,"ID","Arson",24
1992,"ID","Campfire",101
1992,"ID","Children",9
1992,"ID","Debris Burning",58
1992,"ID","Equipment Use",55
1992,"ID","Fireworks",7
1992,"ID","Lightning",1352
1992,"ID","Miscellaneous",91
1992,"ID","Missing/Undefined",440
1992,"ID","Powerline",7
1992,"ID","Railroad",19
1992,"ID","Smoking",32
1992,"IL","Arson",4
1992,"IL","Campfire",1
1992,"IL","Children",1
1992,"IL","Debris Burning",5
1992,"IL","Equipment Use",1
1992,"IL","Railroad",1
1992,"IL","Smoking",5
1992,"IN","Arson",17
1992,"IN","Campfire",2
1992,"IN","Children",10
1992,"IN","Debris Burning",15
1992,"IN","Equipment Use",1
1992,"IN","Fireworks",5
1992,"IN","Miscellaneous",15
1992,"IN","Powerline",2
1992,"IN","Railroad",28
1992,"KS","Debris Burning",5
1992,"KS","Equipment Use",3
1992,"KS","Lightning",3
1992,"KS","Miscellaneous",3
1992,"KS","Smoking",2
1992,"KY","Arson",29
1992,"KY","Campfire",4
1992,"KY","Children",2
1992,"KY","Debris Burning",10
1992,"KY","Equipment Use",1
1992,"KY","Lightning",1
1992,"KY","Miscellaneous",2
1992,"LA","Arson",48
1992,"LA","Campfire",3
1992,"LA","Debris Burning",14
1992,"LA","Equipment Use",1
1992,"LA","Lightning",7
1992,"LA","Miscellaneous",13
1992,"LA","Smoking",1
1992,"MA","Arson",1
1992,"MA","Campfire",2
1992,"MA","Children",1
1992,"MA","Equipment Use",1
1992,"MA","Miscellaneous",2
1992,"MD","Arson",10
1992,"MD","Miscellaneous",2
1992,"ME","Arson",126
1992,"ME","Campfire",22
1992,"ME","Children",58
1992,"ME","Debris Burning",192
1992,"ME","Equipment Use",70
1992,"ME","Lightning",17
1992,"ME","Miscellaneous",75
1992,"ME","Railroad",18
1992,"ME","Smoking",33
1992,"MI","Arson",91
1992,"MI","Campfire",56
1992,"MI","Children",54
1992,"MI","Debris Burning",208
1992,"MI","Equipment Use",64
1992,"MI","Lightning",20
1992,"MI","Miscellaneous",77
1992,"MI","Railroad",16
1992,"MI","Smoking",28
1992,"MN","Arson",324
1992,"MN","Campfire",57
1992,"MN","Children",175
1992,"MN","Debris Burning",660
1992,"MN","Equipment Use",102
1992,"MN","Fireworks",1
1992,"MN","Lightning",15
1992,"MN","Miscellaneous",201
1992,"MN","Railroad",45
1992,"MN","Smoking",40
1992,"MO","Arson",527
1992,"MO","Campfire",10
1992,"MO","Children",14
1992,"MO","Debris Burning",909
1992,"MO","Equipment Use",32
1992,"MO","Lightning",14
1992,"MO","Miscellaneous",118
1992,"MO","Railroad",21
1992,"MO","Smoking",35
1992,"MS","Arson",2981
1992,"MS","Campfire",13
1992,"MS","Children",22
1992,"MS","Debris Burning",1144
1992,"MS","Equipment Use",52
1992,"MS","Fireworks",2
1992,"MS","Lightning",6
1992,"MS","Miscellaneous",155
1992,"MS","Railroad",9
1992,"MS","Smoking",94
1992,"MT","Arson",28
1992,"MT","Campfire",136
1992,"MT","Children",67
1992,"MT","Debris Burning",223
1992,"MT","Equipment Use",30
1992,"MT","Fireworks",43
1992,"MT","Lightning",516
1992,"MT","Miscellaneous",91
1992,"MT","Missing/Undefined",394
1992,"MT","Powerline",5
1992,"MT","Railroad",34
1992,"MT","Smoking",75
1992,"NC","Arson",1235
1992,"NC","Campfire",8
1992,"NC","Children",437
1992,"NC","Debris Burning",2311
1992,"NC","Equipment Use",382
1992,"NC","Fireworks",1
1992,"NC","Lightning",66
1992,"NC","Miscellaneous",584
1992,"NC","Powerline",2
1992,"NC","Railroad",56
1992,"NC","Smoking",614
1992,"ND","Arson",69
1992,"ND","Campfire",7
1992,"ND","Children",48
1992,"ND","Debris Burning",103
1992,"ND","Equipment Use",20
1992,"ND","Fireworks",8
1992,"ND","Lightning",9
1992,"ND","Miscellaneous",126
1992,"ND","Missing/Undefined",1
1992,"ND","Smoking",3
1992,"ND","Structure",2
1992,"NE","Arson",2
1992,"NE","Campfire",1
1992,"NE","Children",1
1992,"NE","Debris Burning",8
1992,"NE","Equipment Use",4
