"fire_year","num_fires","fire_size_class"
1992,67975,"overall"
1993,61989,"overall"
1994,75955,"overall"
1995,71472,"overall"
1996,75574,"overall"
1997,61450,"overall"
1998,68370,"overall"
1999,89363,"overall"
2000,96416,"overall"
2001,86587,"overall"
2002,75656,"overall"
2003,68261,"overall"
2004,69279,"overall"
2005,88604,"overall"
2006,114004,"overall"
2007,95573,"overall"
2008,85378,"overall"
2009,78325,"overall"
2010,79889,"overall"
2011,90552,"overall"
2012,72769,"overall"
2013,64780,"overall"
2014,67753,"overall"
2015,74491,"overall"
1992,25540,"A"
1992,32981,"B"
1992,7955,"C"
1992,876,"D"
1992,368,"E"
1992,197,"F"
1992,58,"G"
1993,20767,"A"
1993,32197,"B"
1993,7573,"C"
1993,831,"D"
1993,397,"E"
1993,159,"F"
1993,65,"G"
1994,27900,"A"
1994,36823,"B"
1994,8833,"C"
1994,1182,"D"
1994,668,"E"
1994,403,"F"
1994,146,"G"
1995,23913,"A"
1995,36864,"B"
1995,8923,"C"
1995,1005,"D"
1995,473,"E"
1995,225,"F"
1995,69,"G"
1996,25120,"A"
1996,37846,"B"
1996,10118,"C"
1996,1220,"D"
1996,695,"E"
1996,374,"F"
1996,201,"G"
1997,21664,"A"
1997,31946,"B"
1997,6720,"C"
1997,678,"D"
1997,267,"E"
1997,114,"F"
1997,61,"G"
1998,23408,"A"
1998,35465,"B"
1998,7931,"C"
1998,896,"D"
1998,405,"E"
1998,189,"F"
1998,76,"G"
1999,27562,"A"
1999,47819,"B"
1999,11477,"C"
1999,1322,"D"
1999,658,"E"
1999,370,"F"
1999,155,"G"
2000,33063,"A"
2000,48113,"B"
2000,12108,"C"
2000,1570,"D"
2000,834,"E"
2000,483,"F"
2000,245,"G"
2001,31131,"A"
2001,44347,"B"
2001,8877,"C"
2001,1178,"D"
2001,598,"E"
2001,343,"F"
2001,113,"G"
2002,27484,"A"
2002,38320,"B"
2002,8069,"C"
2002,948,"D"
2002,415,"E"
2002,250,"F"
2002,170,"G"
2003,28265,"A"
2003,31810,"B"
2003,6405,"C"
2003,863,"D"
2003,487,"E"
2003,304,"F"
2003,127,"G"
2004,27356,"A"
2004,32799,"B"
2004,7739,"C"
2004,761,"D"
2004,341,"E"
2004,166,"F"
2004,117,"G"
2005,28485,"A"
2005,46066,"B"
2005,11285,"C"
2005,1446,"D"
2005,705,"E"
2005,394,"F"
2005,223,"G"
2006,34053,"A"
2006,59411,"B"
2006,16201,"C"
2006,2296,"D"
2006,1149,"E"
2006,625,"F"
2006,269,"G"
2007,33841,"A"
2007,48249,"B"
2007,10711,"C"
2007,1453,"D"
2007,701,"E"
2007,384,"F"
2007,234,"G"
2008,27850,"A"
2008,44039,"B"
2008,10321,"C"
2008,1695,"D"
2008,847,"E"
2008,468,"F"
2008,158,"G"
2009,27164,"A"
2009,39528,"B"
2009,9176,"C"
2009,1322,"D"
2009,663,"E"
2009,336,"F"
2009,136,"G"
2010,28716,"A"
2010,39775,"B"
2010,9270,"C"
2010,1209,"D"
2010,569,"E"
2010,245,"F"
2010,105,"G"
2011,28677,"A"
2011,46523,"B"
2011,11634,"C"
2011,1854,"D"
2011,985,"E"
2011,605,"F"
2011,274,"G"
2012,27349,"A"
2012,34977,"B"
2012,7960,"C"
2012,1182,"D"
2012,642,"E"
2012,415,"F"
2012,244,"G"
2013,28004,"A"
2013,29624,"B"
2013,5855,"C"
2013,677,"D"
2013,301,"E"
2013,187,"F"
2013,132,"G"
2014,27260,"A"
2014,31724,"B"
2014,7216,"C"
2014,865,"D"
2014,371,"E"
2014,214,"F"
2014,103,"G"
2015,32347,"A"
2015,32130,"B"
2015,7720,"C"
2015,1098,"D"
2015,568,"E"
2015,336,"F"
2015,292,"G"
