"state","fire_year","total_fires","stat_cause_descr"
"CO",2013,3894,"All"
"AR",2012,2351,"All"
"ME",2008,466,"All"
"ME",2006,623,"All"
"TN",2009,1477,"All"
"TN",2007,3393,"All"
"TN",2010,1904,"All"
"TN",2012,1203,"All"
"MT",2002,1597,"All"
"MT",2007,1997,"All"
"MT",2008,1532,"All"
"MT",2004,1503,"All"
"MT",2006,2460,"All"
"MT",1998,1909,"All"
"ID",1994,3336,"All"
"ID",2008,986,"All"
"ID",1999,1916,"All"
"ID",1993,698,"All"
"WA",2010,1048,"All"
"ID",2011,1318,"All"
"ID",2007,1589,"All"
"ID",1997,1130,"All"
"MT",1993,743,"All"
"MT",2014,1203,"All"
"MT",2005,1497,"All"
"MT",2009,1662,"All"
"MT",2003,2471,"All"
"MT",2013,1359,"All"
"MT",1994,2984,"All"
"MT",1996,1993,"All"
"MT",2010,1140,"All"
"MT",2011,1190,"All"
"MT",2000,2428,"All"
"MT",1992,1642,"All"
"MT",1999,2089,"All"
"ID",2014,1215,"All"
"ND",2004,819,"All"
"SD",2008,1190,"All"
"SD",1998,816,"All"
"SD",2011,1431,"All"
"SD",2012,2726,"All"
"SD",1992,554,"All"
"SD",2000,2271,"All"
"SD",2015,966,"All"
"WY",2012,1046,"All"
"SD",2007,1627,"All"
"SD",2010,698,"All"
"SD",2006,2646,"All"
"CO",1992,1322,"All"
"WY",2002,670,"All"
"WY",1995,530,"All"
"SD",1996,839,"All"
"CO",2011,957,"All"
"CO",1994,2515,"All"
"CO",2012,1106,"All"
"CO",2004,1310,"All"
"CO",1993,1244,"All"
"CO",2005,1875,"All"
"CO",1997,722,"All"
"CO",2009,952,"All"
"CO",1995,1517,"All"
"CO",2000,1619,"All"
"CO",2008,1015,"All"
"CO",2002,1221,"All"
"WY",2009,474,"All"
"WY",2008,449,"All"
"AZ",1992,3494,"All"
"AZ",2007,2443,"All"
"AZ",2004,2843,"All"
"AZ",2011,1912,"All"
"AZ",2000,3859,"All"
"AZ",2012,1760,"All"
"AZ",1998,2679,"All"
"AZ",2005,3690,"All"
"AZ",2003,2916,"All"
"AZ",1993,4639,"All"
"NM",2003,1969,"All"
"NM",2000,2794,"All"
"NM",2013,1078,"All"
"NM",2014,893,"All"
"NM",2012,1174,"All"
"NM",2002,2077,"All"
"NM",2004,1229,"All"
"NM",1993,1809,"All"
"NM",2007,1428,"All"
"NM",1992,977,"All"
"NM",2001,1701,"All"
"NM",2005,1582,"All"
"AZ",2001,3186,"All"
"AZ",2014,2828,"All"
"AZ",2002,2918,"All"
"AZ",2013,1665,"All"
"AZ",1997,2250,"All"
"AZ",2015,3819,"All"
"AZ",1995,4502,"All"
"AZ",2009,2333,"All"
"AZ",1999,2736,"All"
"AZ",1996,3761,"All"
"AZ",2006,3319,"All"
"NM",1994,2668,"All"
"NM",1995,1665,"All"
"NM",1997,1380,"All"
